Year,Harveted_Timber,Biomass,Pulpwood,Sawlog,Biochar,Residential_Fuel,Industry_Fuel,Paper,Composite_Board,Lumber,Veneer,Construction_B,Construction_E,Home_Application,Processing_Residual
2020,1960665761,647019701.0,941119565.1,372526494.5,87347660.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2021,1991358162,657148193.4,955851917.6,378358050.7,82143524.0,167901363.0,407103306.0,508483998.0,325465676.0,143776059.0,22323125.0,256352030.07999998,44867210.0,190345619.92,568287080.0
2022,2022531024,667435237.9,970814891.5,384280894.6,99447850.0,172532009.0,395455378.0,515690005.0,332024854.0,142568212.0,21519730.0,226983803.46,37114723.0,232014269.54,581408347.0
2023,2054191869,677883316.6,986012096.9,390296455.0,101004614.0,165064588.0,411814115.0,523804424.0,338256928.0,149483542.0,17953637.0,205646824.04,43949580.0,256097702.95999998,589342200.0
2024,2086348334,688494950.3,1001447200.0,396406183.5,88127354.0,172123738.0,428243859.0,531245648.0,345039998.0,144291851.0,23784371.0,214113575.14,45688159.0,253314485.85999998,600161954.0
2025,2119008179,699272699.2,1017123926.0,402611554.1,99995996.0,186356174.0,412920529.0,540087347.0,351482275.0,150576721.0,19727966.0,205751802.5,46608135.0,269427023.5,609570673.0
2026,2152179284,710219163.7,1033046056.0,408914064.0,90908053.0,184656983.0,434654128.0,547777648.0,358497408.0,147617977.0,26579414.0,221686887.6,45723157.0,265284754.4,617496267.0
2027,2185869652,721336985.0,1049217433.0,415315233.8,85839101.0,190072296.0,445425588.0,556431776.0,365157552.0,173186452.0,23257653.0,280473398.12,44435067.0,236693191.88,607251734.0
2028,2220087411,732628845.5,1065641957.0,421816608.0,101102781.0,189750871.0,441775194.0,564372237.0,371925137.0,172522993.0,18981747.0,287746186.35,47610376.0,228073314.65,624379975.0
2029,2254840817,744097469.5,1082323592.0,428419755.2,102685451.0,192721245.0,448690774.0,573206960.0,377747279.0,175223680.0,19278889.0,292250585.45000005,48355673.0,231643589.55,634154064.0
2030,2290138255,755745624.2,1099266363.0,435126268.5,104292896.0,195738117.0,455714611.0,582179983.0,383660562.0,177966644.0,19580682.0,296825497.1,49112636.0,235269754.9,644081157.0
2031,2280420617,752538803.6,1094601896.0,433279917.2,103850355.0,194907550.0,453780899.0,579709646.0,382032592.0,177211486.0,19497596.0,295565990.6,48904238.0,234271445.4,641348157.0
2032,2270744213,749345590.3,1089957222.0,431441400.5,103409691.0,194080508.0,451855391.0,577249790.0,380411532.0,176459533.0,19414863.0,294311829.6,48696725.0,233277373.4,638626754.0
2033,2261108869,746165926.6,1085332257.0,429610685.0,102970898.0,193256975.0,449938054.0,574800372.0,378797349.0,175710770.0,19332481.0,293062989.95000005,48490093.0,232287518.05,635916898.0
2034,2251514409,742999755.1,1080726916.0,427787737.8,102533966.0,192436937.0,448028852.0,572361348.0,377190015.0,174965185.0,19250448.0,291819448.25,48284337.0,231301862.75,633218541.0
