Year,,B_bchar,B_rfuel,B_ifuel,P_paper,R_paper,P_CB,R_CB,ComB_BC,ComB_HA,P_PR,S_Lumber,S_Veneer,S_PR,Construction,Home_Application,Construction_B,Construction_E
2020,1,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2021,2,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2022,3,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2023,4,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2024,5,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2025,6,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2026,7,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2027,8,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2028,9,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2029,10,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2030,11,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2031,12,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2032,13,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
